2128	2317	1
1794	2522	5
3087	2482	3
3174	2492	3
3408	2718	3
3195	2080	2
3030	2605	3
2097	2401	1
2125	2344	1
1784	2217	4
1790	2237	4
2101	2389	1
3177	2193	2
3160	2135	2
2179	2381	1
3216	2426	3
3223	2413	3
2071	2335	1
3300	2624	3
1864	2489	5
2166	2320	1
3210	2213	2
1952	2269	4
3262	2581	3
3182	2513	3
3270	2744	3
1786	2612	5
1751	2062	4
1869	2121	4
3077	2677	3
3212	2574	3
1923	2591	5
3271	2151	2
1799	2402	5
2128	2367	1
3189	2484	3
2105	2314	1
1877	1963	4
1920	2219	4
1892	2715	5
1817	2605	5
3221	2381	3
1728	2189	4
1953	2584	5
1924	2175	4
3215	2131	2
3282	2071	2
3256	2184	2
1782	2631	5
3083	2625	3
1888	2631	5
1660	2511	5
1797	2110	4
2084	2350	1
1815	2560	5
1884	2595	5
1986	2354	1
1872	2060	4
3175	2171	2
3151	2669	3
1697	2140	4
3100	2505	3
3196	2104	2
2052	2367	1
1829	2540	5
1823	2643	5
2053	2320	1
3320	2197	2
3272	2205	2
3146	2773	3
1913	2475	5
3254	2145	2
3128	2664	3
1894	2205	4
3203	2514	3
3209	2099	2
1876	2093	4
2065	2407	1
2113	2464	1
3235	2591	3
1865	2071	4
3174	2048	2
2101	2436	1
1770	2710	5
2054	2375	1
2086	2012	4
3288	2151	2
1842	2074	4
1807	1904	4
2092	2314	1
3235	2019	2
3141	2198	2
2065	2431	1
2171	2353	1
2166	2393	1
3229	2661	3
2103	2297	1
3256	2093	2
1816	2512	5
1790	2510	5
1921	2627	5
2124	2393	1
3244	2159	2
3170	2097	2
3259	2554	3
3126	2659	3
3193	2439	3
1908	2055	4
1792	2135	4
1869	2076	4
2157	2279	1
1651	2180	4
1861	2058	4
3288	2219	2
3270	2129	2
1940	2575	5
3206	2055	2
3143	2079	2
1827	2088	4
1816	2299	4
1996	2395	1
3353	2476	3
1917	2158	4
1850	2531	5
1929	2154	4
1983	2395	1
3219	2226	2
3373	2779	3
1962	2209	4
2105	2305	1
3200	2259	2
3178	2132	2
1878	2615	5
1907	2543	5
1991	2163	4
3306	2452	3
2200	2407	1
1796	2510	5
1884	2567	5
2073	2484	5
2097	2424	1
1883	2307	4
2046	2287	1
1854	2546	5
3408	2526	3
1982	2557	5
3234	2522	3
1953	2128	4
2046	2201	4
3259	2163	2
1944	2208	4
1967	2568	5
3189	2675	3
3185	2509	3
3423	2656	3
1729	2415	5
1737	2670	5
2017	2081	4
1772	2072	4
1762	2744	5
2188	2380	1
2029	2390	1
1869	2020	4
1858	2207	4
2116	2449	1
3278	2540	3
3252	2688	3
